Entity,Code,Year,Coal (terawatt-hours)
Africa,,1965,335.5907572686832
Africa,,1966,331.37197812520344
Africa,,1967,341.010826888406
Africa,,1968,355.4072587079686
Africa,,1969,357.50639456711264
Africa,,1970,367.9708149254619
Africa,,1971,388.73192834061405
Africa,,1972,392.44496455459625
Africa,,1973,414.9090023304431
Africa,,1974,432.14098680538626
Africa,,1975,459.07949328897803
Africa,,1976,481.95030734476967
Africa,,1977,492.92282312211705
Africa,,1978,477.93274097354475
Africa,,1979,504.55183424387053
Africa,,1980,543.885685628317
Africa,,1981,636.1955236882933
Africa,,1982,702.5677828299104
Africa,,1983,710.0489165210579
Africa,,1984,762.6247720782411
Africa,,1985,787.1902554375173
Africa,,1986,805.3904154163455
Africa,,1987,828.3495231856209
Africa,,1988,890.1926296755669
Africa,,1989,835.6744671551744
Africa,,1990,878.1254018950482
Africa,,1991,853.5168095586611
Africa,,1992,858.6388271558776
Africa,,1993,871.957549436638
Africa,,1994,894.5019365134144
Africa,,1995,922.1579753228351
Africa,,1996,934.8996639327252
Africa,,1997,958.6789709796299
Africa,,1998,936.6867800101916
Africa,,1999,965.901543584505
Africa,,2000,963.9525180291063
Africa,,2001,976.7593736557538
Africa,,2002,935.5459232812815
Africa,,2003,1018.290452876579
Africa,,2004,1118.9433344607755
Africa,,2005,1038.6508005530034
Africa,,2006,1053.4369100108997
Africa,,2007,1070.914468523915
Africa,,2008,1180.2544612203699
Africa,,2009,1174.814966793769
Africa,,2010,1164.1418394656448
Africa,,2011,1144.9794651291982
Africa,,2012,1117.0874997636292
Africa,,2013,1133.4142208929861
Africa,,2014,1189.6761007730413
Africa,,2015,1108.521084711492
Africa,,2016,1115.8872016556575
Algeria,DZA,1965,0.8141000000000002
Algeria,DZA,1966,0.7908400000000001
Algeria,DZA,1967,0.6047600000000001
Algeria,DZA,1968,0.63965
Algeria,DZA,1969,0.8141000000000002
Algeria,DZA,1970,0.9652900000000001
Algeria,DZA,1971,0.26749
Algeria,DZA,1972,0.23260000000000003
Algeria,DZA,1973,0.26749
Algeria,DZA,1974,0.22097
Algeria,DZA,1975,0.27912000000000003
Algeria,DZA,1976,0.54661
Algeria,DZA,1977,0.70943
Algeria,DZA,1978,0.36053
Algeria,DZA,1979,0.8373600000000001
Algeria,DZA,1980,0.7443200000000001
Algeria,DZA,1981,0.52335
Algeria,DZA,1982,9.71105
Algeria,DZA,1983,8.66435
Algeria,DZA,1984,9.606380000000001
Algeria,DZA,1985,10.02506
Algeria,DZA,1986,10.29255
Algeria,DZA,1987,12.304540000000001
Algeria,DZA,1988,11.571850000000001
Algeria,DZA,1989,9.78083
Algeria,DZA,1990,7.664170000000001
Algeria,DZA,1991,7.908400000000001
Algeria,DZA,1992,9.39704
Algeria,DZA,1993,7.652540000000001
Algeria,DZA,1994,7.2106
Algeria,DZA,1995,7.2106
Algeria,DZA,1996,3.39596
Algeria,DZA,1997,5.954560000000001
Algeria,DZA,1998,6.373240000000001
Algeria,DZA,1999,6.82681
Algeria,DZA,2000,5.64055
Algeria,DZA,2001,6.512800000000001
Algeria,DZA,2002,8.54805
Algeria,DZA,2003,7.04778
Algeria,DZA,2004,8.40849
Algeria,DZA,2005,6.90822
Algeria,DZA,2006,10.257660000000001
Algeria,DZA,2007,8.80391
Algeria,DZA,2008,8.80391
Algeria,DZA,2009,5.65218
Algeria,DZA,2010,3.6053
Algeria,DZA,2011,3.1982500000000003
Algeria,DZA,2012,3.39596
Algeria,DZA,2013,1.8375400000000002
Algeria,DZA,2014,2.08177
Algeria,DZA,2015,1.6747200000000002
Algeria,DZA,2016,1.679308273972603
Argentina,ARG,1965,9.259104629385966
Argentina,ARG,1966,9.693390763157893
Argentina,ARG,1967,9.502962265350876
Argentina,ARG,1968,7.637724502192984
Argentina,ARG,1969,10.178558146929824
Argentina,ARG,1970,11.394452713157897
Argentina,ARG,1971,9.387453666447367
Argentina,ARG,1972,8.374360030701757
Argentina,ARG,1973,8.839269790789476
Argentina,ARG,1974,11.331809095394735
Argentina,ARG,1975,12.234969391008775
Argentina,ARG,1976,12.489149927192983
Argentina,ARG,1977,9.892323443421056
Argentina,ARG,1978,14.13245005394737
Argentina,ARG,1979,11.166634020394737
Argentina,ARG,1980,10.863926033991229
Argentina,ARG,1981,9.86702972368421
Argentina,ARG,1982,9.798509130263158
Argentina,ARG,1983,8.91979682894737
Argentina,ARG,1984,6.006675662280703
Argentina,ARG,1985,6.9905573394736855
Argentina,ARG,1986,10.40762782982456
Argentina,ARG,1987,11.553994124342115
Argentina,ARG,1988,11.993011066666668
Argentina,ARG,1989,12.009019659649127
Argentina,ARG,1990,10.923895771929828
Argentina,ARG,1991,8.536460807017546
Argentina,ARG,1992,7.559510201754388
Argentina,ARG,1993,8.9405625
Argentina,ARG,1994,12.599166666666667
Argentina,ARG,1995,11.295983339473684
Argentina,ARG,1996,10.61497134649123
Argentina,ARG,1997,9.839205458771929
Argentina,ARG,1998,8.49622406754386
Argentina,ARG,1999,8.55723157894737
Argentina,ARG,2000,7.143720358771927
Argentina,ARG,2001,7.728734569209041
Argentina,ARG,2002,6.523731871468928
Argentina,ARG,2003,7.91648186440678
Argentina,ARG,2004,12.493226283
Argentina,ARG,2005,13.111662
Argentina,ARG,2006,12.270960003200003
Argentina,ARG,2007,14.192345823196597
Argentina,ARG,2008,16.187977265
Argentina,ARG,2009,11.105221330595091
Argentina,ARG,2010,14.762277661999999
Argentina,ARG,2011,18.002176087600002
Argentina,ARG,2012,15.2301959419
