time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1980-01-01T16:42:40.000Z,38.815,-27.78,10,6.7,ms,,,,,us,usp00014tu,2017-04-26T17:33:30.250Z,"Azores Islands, Portugal",earthquake,,,,,reviewed,us,us
1980-02-07T10:49:16.000Z,-54.158,158.89,10,6.5,ms,,,,,us,usp00015bk,2016-11-10T00:25:35.777Z,Macquarie Island region,earthquake,,,,,reviewed,us,us
1980-02-23T05:51:03.200Z,43.53,146.753,44,7,ms,,,,,us,usp00015mw,2017-04-26T17:33:39.288Z,Kuril Islands,earthquake,,,,,reviewed,us,us
1980-02-27T21:17:20.200Z,-6.017,150.189,53,6.6,ms,,,,,us,usp00015qz,2017-04-26T17:33:40.530Z,"New Britain region, Papua New Guinea",earthquake,,,,,reviewed,us,us
1980-03-08T22:12:10.300Z,-22.673,171.357,38,6.7,ms,,,,,us,usp00015we,2016-11-10T02:38:43.680Z,southeast of the Loyalty Islands,earthquake,,,,,reviewed,us,us
1980-03-24T03:59:51.300Z,52.969,-167.67,33,6.9,ms,,,,,us,usp0001668,2016-11-10T02:39:55.921Z,"Fox Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,us,us
1980-04-13T18:04:31.900Z,-23.466,-177.297,79,6.7,mb,,,,,us,usp00016ma,2016-11-10T00:31:24.492Z,south of the Fiji Islands,earthquake,,,,,reviewed,us,us
1980-06-18T10:49:10.000Z,-15.268,-173.57,43,6.5,ms,,,,,us,usp00018a9,2016-11-10T00:37:58.316Z,Tonga,earthquake,,,,,reviewed,us,us
1980-06-18T17:14:54.500Z,9.475,126.657,54,6.8,ms,,,,,us,usp00018ad,2017-04-26T17:33:56.785Z,"Mindanao, Philippines",earthquake,,,,,reviewed,us,us
1980-06-25T23:18:20.400Z,-5.233,151.686,49,6.5,ms,,,,,us,usp00018ft,2017-04-26T17:33:58.056Z,"New Britain region, Papua New Guinea",earthquake,,,,,reviewed,us,us
1980-07-08T23:19:19.800Z,-12.41,166.381,33,7.5,ms,,,,,us,usp00018r3,2017-04-13T21:53:11.885Z,Santa Cruz Islands,earthquake,,,,,reviewed,us,us
1980-07-09T20:56:53.200Z,-12.689,166.004,33,6.7,ms,,,,,us,usp00018s5,2016-11-10T00:39:56.244Z,Santa Cruz Islands,earthquake,,,,,reviewed,us,us
1980-07-14T16:15:01.700Z,-29.273,-177.154,49,6.6,ms,,,,,us,usp00018vj,2016-11-10T02:38:47.294Z,"Kermadec Islands, New Zealand",earthquake,,,,,reviewed,us,us
1980-07-16T19:56:46.700Z,-4.456,143.521,84,6.5,mb,,,,,us,usp00018xa,2017-04-26T17:34:01.477Z,"New Guinea, Papua New Guinea",earthquake,,,,,reviewed,us,us
1980-07-17T19:42:23.200Z,-12.525,165.916,33,7.9,ms,,,,,us,usp00018y0,2017-04-26T17:34:02.116Z,Santa Cruz Islands,earthquake,,,,,reviewed,us,us
1980-07-29T03:11:56.300Z,-13.101,166.338,48,6.7,ms,,,,,us,usp000194t,2016-11-10T02:38:49.658Z,Vanuatu,earthquake,,,,,reviewed,us,us
1980-07-29T14:58:40.800Z,29.598,81.092,18,6.5,ms,,,,,us,usp0001959,2017-04-26T17:34:03.358Z,Nepal,earthquake,,,,,reviewed,us,us
1980-09-26T15:20:37.100Z,-3.225,142.237,33,6.5,ms,,,,,us,usp00019zv,2017-04-26T17:34:07.837Z,"near the north coast of New Guinea, Papua New Guinea",earthquake,,,,,reviewed,us,us
1980-10-10T12:25:23.500Z,36.195,1.354,10,7.3,ms,,,,,us,usp0001a5w,2017-04-26T17:34:11.007Z,northern Algeria,earthquake,,,,,reviewed,us,us
1980-10-24T03:25:34.400Z,-21.989,170.165,33,6.7,ms,,,,,us,usp0001adk,2016-11-10T02:38:54.764Z,southeast of the Loyalty Islands,earthquake,,,,,reviewed,us,us
1980-10-25T07:00:07.900Z,-21.982,170.025,33,6.7,ms,,,,,us,usp0001aep,2016-11-09T23:48:15.436Z,southeast of the Loyalty Islands,earthquake,,,,,reviewed,us,us
1980-10-25T11:00:05.100Z,-21.89,169.853,33,7.2,ms,,,,,us,usp0001aez,2016-11-10T02:38:56.257Z,southeast of the Loyalty Islands,earthquake,,,,,reviewed,us,us
1980-10-25T16:20:04.800Z,-22.313,170.38,33,6.5,ms,,,,,us,usp0001afa,2016-11-09T23:48:16.055Z,southeast of the Loyalty Islands,earthquake,,,,,reviewed,us,us
1980-11-08T10:27:34.000Z,41.117,-124.253,19,7.2,mw,,,,,us,usp0001aq1,2017-12-06T17:09:53.589Z,offshore Northern California,earthquake,,,,,reviewed,us,1023
1980-11-11T10:36:58.200Z,-51.422,28.796,10,6.7,ms,,,,,us,usp0001arz,2016-11-10T02:40:04.548Z,south of Africa,earthquake,,,,,reviewed,us,us
1980-11-23T18:34:53.800Z,40.914,15.366,10,6.9,ms,,,,,us,usp0001ay4,2017-04-26T17:34:22.121Z,southern Italy,earthquake,,,,,reviewed,us,us
1980-12-17T16:21:58.800Z,49.479,-129.496,10,6.8,ms,,,,,us,usp0001bax,2016-11-10T00:55:14.493Z,"Vancouver Island, Canada region",earthquake,,,,,reviewed,us,us
1980-12-31T10:32:11.000Z,46.06,151.453,33,6.5,ms,,,,,us,usp0001bhu,2016-11-10T00:57:22.841Z,Kuril Islands,earthquake,,,,,reviewed,us,us
1981-01-18T18:17:24.400Z,38.64,142.75,33,6.9,ms,,,,,us,usp0001bss,2017-04-26T17:34:32.152Z,"near the east coast of Honshu, Japan",earthquake,,,,,reviewed,us,us
1981-01-19T15:11:01.000Z,-4.576,139.232,33,6.7,ms,,,,,us,usp0001bta,2017-04-26T17:34:33.388Z,"Papua, Indonesia",earthquake,,,,,reviewed,us,us
1981-01-23T21:13:51.700Z,30.927,101.098,33,6.8,ms,,,,,us,usp0001bve,2017-04-26T17:34:34.605Z,"western Sichuan, China",earthquake,,,,,reviewed,us,us
1981-01-23T21:54:41.600Z,-29.682,60.839,10,6.8,ms,,,,,us,usp0001bvf,2016-11-10T00:24:26.127Z,Southwest Indian Ridge,earthquake,,,,,reviewed,us,us
1981-01-30T08:52:44.100Z,51.744,176.274,33,7,ms,,,,,us,usp0001byq,2018-06-04T20:43:45.000Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,us,us
