Entity,Code,Year,Coal (terawatt-hours),Crude oil (terawatt-hours),Natural gas (terawatt-hours)
Afghanistan,AFG,1949,0.040705,,
Afghanistan,AFG,1950,0.113974001,,
Afghanistan,AFG,1951,0.122115001,,
Afghanistan,AFG,1952,0.138397001,,
Afghanistan,AFG,1953,0.130256001,,
Afghanistan,AFG,1954,0.122115001,,
Afghanistan,AFG,1955,0.187243002,,
Afghanistan,AFG,1956,0.187243002,,
Afghanistan,AFG,1957,0.236089002,,
Afghanistan,AFG,1958,0.276794003,,
Afghanistan,AFG,1959,0.333781003,,
Afghanistan,AFG,1960,0.390768004,,
Afghanistan,AFG,1961,0.537306005,,
Afghanistan,AFG,1962,0.911792009,,
Afghanistan,AFG,1963,0.805959008,,
Afghanistan,AFG,1964,0.919933009,,
Afghanistan,AFG,1965,1.172304012,,
Afghanistan,AFG,1966,1.318842013,,
Afghanistan,AFG,1967,1.229291012,,4.118792453
Afghanistan,AFG,1968,1.01762501,,20.24470793
Afghanistan,AFG,1969,1.107176011,,24.4357599
Afghanistan,AFG,1970,1.335124013,,31.10772194
Afghanistan,AFG,1971,1.099035011,,31.73397109
Afghanistan,AFG,1972,0.578011006,,34.85317356
Afghanistan,AFG,1973,0.952497009,,37.51473243
Afghanistan,AFG,1974,0.936215009,,38.53840891
Afghanistan,AFG,1975,1.221150012,,35.63598499
Afghanistan,AFG,1976,1.302560013,,30.66212159
Afghanistan,AFG,1977,1.383970014,,31.09567869
Afghanistan,AFG,1978,1.774738017,,30.89094339
Afghanistan,AFG,1979,1.074612011,,28.90380668
Afghanistan,AFG,1980,0.767272965,,18.4110345
Afghanistan,AFG,1981,0.805959008,,24.24031631
Afghanistan,AFG,1982,0.934912466,,24.91732165
Afghanistan,AFG,1983,0.934912466,,26.02221838
Afghanistan,AFG,1984,0.954255458,,26.08376417
Afghanistan,AFG,1985,0.973598509,,32.22077579
Afghanistan,AFG,1986,1.031627545,,32.22077579
Afghanistan,AFG,1987,1.076761252,,30.43887376
Afghanistan,AFG,1988,0.889778759,,32.51159316
Afghanistan,AFG,1989,0.818854336,,32.06358064
Afghanistan,AFG,1990,0.677005551,,3.251005887
Afghanistan,AFG,1991,0.606081187,,3.250928417
Afghanistan,AFG,1992,0.281182988,,3.250928417
Afghanistan,AFG,1993,0.306844728,,3.250928417
Afghanistan,AFG,1994,0.33573027,,3.249547589
Afghanistan,AFG,1995,0.366550152,,2.16636506
Afghanistan,AFG,1996,0.399239858,,2.492378453
Afghanistan,AFG,1997,0.433412519,,2.492378453
Afghanistan,AFG,1998,0.457784737,,2.492378453
Afghanistan,AFG,1999,0.515985317,,2.492378453
Afghanistan,AFG,2000,0.550525141,,2.492378453
Afghanistan,AFG,2001,0.177127288,,0.541821403
Afghanistan,AFG,2002,0.143064334,,0.541821403
Afghanistan,AFG,2003,0.238440556,,0.216728561
Afghanistan,AFG,2004,0.231627978,,0.216728561
Afghanistan,AFG,2005,0.224815338,,0.216728561
Afghanistan,AFG,2006,0.238440556,,0.216728561
Afghanistan,AFG,2007,1.655458614,,0.433457122
Afghanistan,AFG,2008,2.363967643,,0.541821403
Afghanistan,AFG,2009,3.406293452,,0.325092842
Afghanistan,AFG,2010,4.939125529,,1.517099928
Afghanistan,AFG,2011,4.939125529,,
Afghanistan,AFG,2012,5.109413767,,
Afghanistan,AFG,2013,5.142743297,,
Afghanistan,AFG,2014,5.176290241,,
Albania,ALB,1933,,0.02326,
Albania,ALB,1934,,0.02326,
Albania,ALB,1935,,0.069780001,
Albania,ALB,1936,,0.476830005,
Albania,ALB,1937,,1.093220011,
Albania,ALB,1938,,1.325820013,
Albania,ALB,1939,,1.639830016,
Albania,ALB,1940,,2.628380026,
Albania,ALB,1941,,2.349260023,
Albania,ALB,1942,,2.814460028,
Albania,ALB,1943,,1.756130017,
Albania,ALB,1944,,0.581500006,
Albania,ALB,1945,,0.465200005,
Albania,ALB,1946,0.065128001,1.756130017,
Albania,ALB,1947,,3.512260035,
Albania,ALB,1948,0.016282,2.640010026,
Albania,ALB,1949,,3.849530038,
Albania,ALB,1950,0.166890502,1.535160015,
Albania,ALB,1951,0.211666002,1.418860014,0.060216264
Albania,ALB,1952,0.321569503,1.732870017,0.060216264
Albania,ALB,1953,0.427402504,1.744500017,0.120432528
Albania,ALB,1954,0.606504506,2.03525002,0.120432528
Albania,ALB,1955,0.793747508,2.419040024,0.180648792
Albania,ALB,1956,0.911792009,3.09358003,0.30108132
Albania,ALB,1957,0.960638009,5.698700056,0.361297584
Albania,ALB,1958,1.04204801,4.686890046,0.421513847
Albania,ALB,1959,1.05833001,5.570770055,0.481730111
Albania,ALB,1960,1.184515512,8.466640083,0.51785987
Albania,ALB,1961,1.176374512,8.966730088,0.51785987
Albania,ALB,1962,1.225220512,9.12955009,0.51785987
Albania,ALB,1963,1.02576601,8.734130086,0.51785987
Albania,ALB,1964,1.188586012,8.885320087,0.51785987
Albania,ALB,1965,1.347335513,9.559860094,0.51785987
Albania,ALB,1966,1.603777016,10.3041801,0.65033565
Albania,ALB,1967,1.628200016,11.44392011,0.794854684
Albania,ALB,1968,1.766597017,13.18842013,0.915287212
Albania,ALB,1969,2.409736024,15.20041015,1.059806245
Albania,ALB,1970,2.466723024,17.29381017,1.180238773
Albania,ALB,1971,2.747587527,19.27091019,1.517449851
Albania,ALB,1972,3.01217003,25.00450025,1.746271654
Albania,ALB,1973,3.301175532,24.50441024,2.288218029
Albania,ALB,1974,3.459925034,20.5851002,2.444780315
Albania,ALB,1975,3.459925034,21.16660021,3.612975836
Albania,ALB,1976,3.663450036,22.09700022,4.215138475
Albania,ALB,1977,3.866975038,22.67850022,4.215138475
Albania,ALB,1978,4.151910041,24.42300024,4.263311486
Albania,ALB,1979,5.698700056,24.42300024,4.383744014
Albania,ALB,1980,3.517068542,25.94136137,3.06850575
Albania,ALB,1981,3.819665399,25.94136137,3.250212862
Albania,ALB,1982,4.216513758,37.73288926,3.06850575
Albania,ALB,1983,4.588559104,44.2182296,3.253143628
Albania,ALB,1984,4.985407441,32.42670171,3.314689586
Albania,ALB,1985,5.33264975,32.42670171,3.06850575
Albania,ALB,1986,5.374814903,32.19880685,4.296494214
Albania,ALB,1987,5.292964919,31.61324547,4.879715442
Albania,ALB,1988,5.416980034,25.69131023,7.587079615
Albania,ALB,1989,5.439302749,27.55433036,7.587079615
Albania,ALB,1990,5.13422557,17.51850201,2.762286267
Albania,ALB,1991,2.69608851,10.98068937,1.529856735
Albania,ALB,1992,0.907790615,6.094834417,1.102108792
Albania,ALB,1993,0.530784671,6.555494037,0.324023656
Albania,ALB,1994,0.419543127,6.721259336,0.324329628
Albania,ALB,1995,0.19842221,5.83524393,0.324329628
Albania,ALB,1996,0.280274142,5.687325108,0.324161344
Albania,ALB,1997,0.10156734,5.509815447,0.216107562
Albania,ALB,1998,0.127609403,3.782450943,0.324161344
Albania,ALB,1999,0.127610284,3.283138695,0.216107562
Albania,ALB,2000,0.078128739,3.337061352,0.324161344
Albania,ALB,2001,0.054690122,3.533944493,0.324161344
Albania,ALB,2002,0.200530423,3.727502423,0.324161344
Albania,ALB,2003,0.210947599,3.963215066,0.324161344
Albania,ALB,2004,0.210947599,3.949477936,0.324161344
Albania,ALB,2005,0.166674654,4.118138055,0.324161344
Albania,ALB,2006,0.166674654,4.606991218,0.324161344
Albania,ALB,2007,0.166674654,3.832983536,0.108053781
Albania,ALB,2008,0.221364775,3.5588482,0.324161344
Albania,ALB,2009,0.036460081,3.178459406,0.324161344
Albania,ALB,2010,0.036460081,6.41050541,0.108053781
Albania,ALB,2011,0.023438617,9.164558248,0.108053781
Albania,ALB,2012,0.052085474,9.943382769,0.183692958
Albania,ALB,2013,0.050131177,10.04488424,0.205303714
Albania,ALB,2014,0.048016795,12.1075939,0.181445368
Algeria,DZA,1916,,0.01163,
Algeria,DZA,1917,0.016282,0.01163,
Algeria,DZA,1918,0.04697357,0.01163,
Algeria,DZA,1919,0.051980286,0.01163,
Algeria,DZA,1920,0.055114571,0.01163,
Algeria,DZA,1921,0.073269001,,
Algeria,DZA,1922,0.073269001,0.01163,
Algeria,DZA,1923,0.032564,0.01163,
Algeria,DZA,1924,0.073269001,0.02326,
Algeria,DZA,1925,0.081410001,0.02326,
Algeria,DZA,1926,0.113974001,0.01163,
Algeria,DZA,1927,0.170961002,0.01163,
Algeria,DZA,1928,0.138397001,0.01163,
Algeria,DZA,1929,0.130256001,0.03489,
Algeria,DZA,1930,0.138397001,0.02326,
Algeria,DZA,1931,0.170961002,0.01163,
Algeria,DZA,1932,0.203525002,0.01163,
Algeria,DZA,1933,0.244230002,0.01163,
Algeria,DZA,1934,0.276794003,,
Algeria,DZA,1935,0.309358003,,
Algeria,DZA,1936,0.056987001,,
Algeria,DZA,1937,0.113974001,,
Algeria,DZA,1938,0.105833001,,
Algeria,DZA,1939,0.154679002,,
Algeria,DZA,1940,0.447755004,,
Algeria,DZA,1941,0.651280006,,
Algeria,DZA,1942,1.204868012,,
Algeria,DZA,1943,0.952497009,,
Algeria,DZA,1944,0.97692001,0.01163,
Algeria,DZA,1945,1.318842013,,
Algeria,DZA,1946,1.750315017,,0.842593508
Algeria,DZA,1947,1.677046017,,0.842593508
Algeria,DZA,1948,1.839866018,,0.867016509
Algeria,DZA,1949,2.157365021,,0.879228009
Algeria,DZA,1950,2.100378021,0.03489,0.915862509
Algeria,DZA,1951,2.01082702,0.081410001,0.97692001
Algeria,DZA,1952,2.189929022,0.534980005,0.98913151
Algeria,DZA,1953,2.401595024,0.98855001,1.02576601
Algeria,DZA,1954,2.466723024,0.848990008,1.086823511
Algeria,DZA,1955,2.450441024,0.639650006,1.086823511
Algeria,DZA,1956,2.417877024,0.395420004,1.196727012
Algeria,DZA,1957,1.921276019,0.244230002,1.233361512
Algeria,DZA,1958,1.245573012,4.989270049,1.343265013
Algeria,DZA,1959,0.99320201,14.32816014,1.465380014
Algeria,DZA,1960,0.96877901,100.390161,1.587495016
Algeria,DZA,1961,0.537306005,182.0909118,2.662107026
