STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CLDD,DP01,DP10,DT00,DT32,DX32,DX70,DX90,EMNT,EMXP,EMXT,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HTDD,PRCP,TAVG,TMAX,TMIN
CHM00054511,"BEIJING, CH",39.933,116.283,55,1970,1142,1142,62,38,0,138,25,170,14,1,2.21,96,31,28,22,19,13,32,26,18,18,16,5873,5873,23.5,52.1,62.3,41.9
CHM00054511,"BEIJING, CH",39.933,116.283,55,1971,1270,1270,57,32,0,123,31,175,20,2,3.18,95,31,27,17,17,15,30,23,23,18,11,5838,5838,20.13,52.7,63.1,42.3
CHM00054511,"BEIJING, CH",39.933,116.283,55,1972,1368,1368,50,27,1,131,22,170,41,-1,2.28,103,29,27,22,18,15,32,26,24,14,14,5624,5624,14.73,52.9,63.4,42.4
CHM00054511,"BEIJING, CH",39.933,116.283,55,1973,1161,1161,75,42,1,129,21,166,12,-1,3.53,99,30,28,20,20,15,31,27,20,19,14,5485,5485,27.49,53.2,62.8,43.6
CHM00054511,"BEIJING, CH",39.933,116.283,55,1974,1209,1209,56,34,0,129,27,168,13,5,2.82,96,27,27,23,20,12,31,26,22,17,13,5539,5539,18.69,52.4,62.8,42.1
CHM00054511,"BEIJING, CH",39.933,116.283,55,1975,1383,1383,38,20,0,123,14,178,31,8,4.05,101,32,24,23,19,13,29,27,18,18,16,5490,5490,15.46,54.6,65,44.1
CHM00054511,"BEIJING, CH",39.933,116.283,55,1976,1025,1025,60,36,0,143,18,166,6,5,3.01,95,31,23,23,16,11,27,27,24,12,12,5446,5446,26.93,52.1,61.8,42.5
CHM00054511,"BEIJING, CH",39.933,116.283,55,1977,1197,1197,63,37,0,120,32,172,14,3,1.86,93,30,27,24,20,16,31,26,24,20,11,5708,5708,30.67,53.4,63.2,43.6
CHM00054511,"BEIJING, CH",39.933,116.283,55,1978,1281,1281,61,37,0,129,24,170,27,6,3.32,99,32,24,22,19,11,29,25,24,20,12,5298,5298,26.17,53.5,63.6,43.4
CHM00054511,"BEIJING, CH",39.933,116.283,55,1979,1094,1094,64,37,0,130,18,163,12,4,3.13,97,31,27,22,17,14,32,16,16,16,11,5534,5534,28.28,52.7,62.8,42.7
