STATION,NAME,DATE,CDSD,CLDD,DP01,DP10,DSND,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMXP,EMXT,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HTDD,PRCP,TAVG,TMAX,TMIN
UKE00107650,"HEATHROW, UK",1970,98,98,159,80,5,0,52,0,85,0,20,2,2.07,89,29,26,,,,32,28,23,,,4874,4874,25.84,51.2,58.3,44.1
UKE00107650,"HEATHROW, UK",1971,63,63,119,61,0,0,30,2,75,0,24,0,1.43,85,31,27,,,,30,25,,,,4981,4981,24.36,51.5,58.6,44.3
UKE00107650,"HEATHROW, UK",1972,30,30,143,62,0,0,21,0,46,0,15,0,0.74,82,32,28,,,,31,17,17,17,15,4787,4787,17.49,50.7,57.6,43.8
UKE00107650,"HEATHROW, UK",1973,110,110,108,51,0,0,56,0,72,0,24,0,1.61,89,28,28,24,,,32,27,,,,5006,5006,19.12,51.1,58.6,43.5
UKE00107650,"HEATHROW, UK",1974,16,16,158,82,0,0,10,0,54,0,29,0,1.2,78,32,,,,,32,,,,,4888,4888,28.73,51.1,58,44.2
UKE00107650,"HEATHROW, UK",1975,208,208,138,62,1,0,37,1,87,3,22,2,1.63,94,27,27,22,,,29,,,,,5046,5046,23.07,51.7,59,44.3
UKE00107650,"HEATHROW, UK",1976,351,351,107,56,0,0,44,1,97,9,22,0,0.97,95,31,27,23,,,29,28,,,,4789,4789,18,52.3,59.9,44.8
UKE00107650,"HEATHROW, UK",1977,48,48,157,79,0,0,31,0,39,0,24,0,2.04,83,30,,,,,27,27,24,,,5094,5094,25.17,51,57.5,44.4
UKE00107650,"HEATHROW, UK",1978,28,28,139,70,2,0,48,1,58,0,21,4,1.16,81,25,25,24,,,31,25,23,,,5127,5127,23.06,50.8,57.7,43.9
UKE00107650,"HEATHROW, UK",1979,43,43,153,82,5,0,58,2,60,0,18,4,1.4,86,29,24,24,,,31,27,24,19,,5283,5283,26.96,49.9,56.7,43.1
