STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF1,FZF1_ATTRIBUTES,FZF2,FZF2_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,FZF7,FZF7_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
MX000015170,"CHAPINGO, MX",19.5,-98.88,2250,1970,,,,,95,I,59,I,,,,,0,I,317,I,0,I,,,1.48,",I,0812,",90,"I,0428,",,,,,,,,,,,,,1901,,1901,I,22.63,",I",,,75.2,I,,
MX000015170,"CHAPINGO, MX",19.5,-98.88,2250,1971,58,,58,I,108,I,65,I,0,I,14,I,0,I,310,I,0,I,26,"I,1224,",0.99,",I,0623,",90,"I,0522,+",31,"I,1105",26,"I,1224",,,31,"I,0414",,,,,,,,,21.47,",I",59.3,I,74.7,I,44,I
MX000015170,"CHAPINGO, MX",19.5,-98.88,2250,1972,66,,66,I,119,I,58,I,0,I,15,I,0,I,324,I,0,I,26,"I,0220,+",0.92,",I,1017,",88,"I,0522,",27,"I,1222",27,"I,1222",,,30,"I,0224",27,"I,0222",,,1990,,1990,I,20.48,",I",60.2,I,75.5,I,44.8,I
MX000015170,"CHAPINGO, MX",19.5,-98.88,2250,1973,112,,112,I,121,I,68,I,0,I,25,I,0,I,289,I,4,I,23,"I,0130,",0.98,",I,0910,",93,"I,0525,",31,"I,1209",26,"I,1217",,,31,"I,0211",27,"I,0131",23,"I,0130",1610,,1610,I,26.09,",I",60.2,I,75.2,I,45.2,I
MX000015170,"CHAPINGO, MX",19.5,-98.88,2250,1974,47,,47,I,111,I,66,I,0,I,10,I,0,I,305,I,0,I,23,"I,1127,",1.99,",I,0724,",89,"I,0516,",29,"I,1126",23,"I,1127",23,"I,1127",30,"I,0303",27,"I,0302",,,2019,,2019,I,28.67,",I",59.2,I,74.7,I,43.7,I
MX000015170,"CHAPINGO, MX",19.5,-98.88,2250,1975,58,,58,I,104,I,63,I,0,I,21,I,0,I,298,I,0,I,24,"I,0115,",1.07,",I,0824,",89,"I,0507,",30,"I,0925",27,"I,1114",,,28,"I,0117",25,"I,0116",24,"I,0115",2052,,2052,I,23.81,",I",59.3,I,74.5,I,44.1,I
MX000015170,"CHAPINGO, MX",19.5,-98.88,2250,1976,23,,23,I,123,I,66,I,0,I,23,I,0,I,287,I,0,I,21,"I,0226,+",1.34,",I,0702,",86,"I,0525,",,,,,,,27,"I,0229",27,"I,0229",24,"I,0227",2276,,2276,I,27.05,",I",59.3,I,73.8,I,44.7,I
MX000015170,"CHAPINGO, MX",19.5,-98.88,2250,1977,129,,129,I,103,I,49,I,0,I,4,I,0,I,340,I,4,I,29,"I,0108,",1.34,",I,0618,",91,"I,0331,+",31,"I,1222",,,,,29,"I,0108",,,,,1700,,1700,I,19.5,",I",61.5,I,77.4,I,45.5,I
MX000015170,"CHAPINGO, MX",19.5,-98.88,2250,1978,180,,180,I,115,I,64,I,0,I,2,I,0,I,327,I,7,I,30,"I,0210,+",2.27,",I,0605,",91,"I,0512,+",,,,,,,30,"I,0210",,,,,1313,,1313,I,28.36,",I",62,I,76.9,I,47,I
MX000015170,"CHAPINGO, MX",19.5,-98.88,2250,1979,247,,247,I,94,I,60,I,0,I,3,I,0,I,344,I,0,I,28,"I,0103,",2.22,",I,0910,",90,"I,0520,+",,,,,,,31,"I,0115",,,,,1188,,1188,I,26.49,",I",62.1,I,78,I,46.1,I
MX000015170,"CHAPINGO, MX",19.5,-98.88,2250,1980,,,,,114,I,63,I,,,,,0,I,340,I,1,I,,,1.05,",I,1031,",91,"I,0516,",,,,,,,,,,,,,1311,,1311,I,21.61,",I",,,77.6,I,,
MX000015170,"CHAPINGO, MX",19.5,-98.88,2250,1981,175,,175,I,130,I,68,I,0,I,12,I,0,I,329,I,0,I,27,"I,0125,",1.74,",I,0606,",89,"I,0511,+",30,"I,1116",,,,,28,"I,0127",27,"I,0125",,,,,,,29.46,",I",61.4,I,76.5,I,46.3,I
MX000015170,"CHAPINGO, MX",19.5,-98.88,2250,1982,210,,210,I,98,I,47,I,0,I,6,I,0,I,351,I,3,I,28,"I,1220,+",0.72,",I,1005,",91,"I,0417,+",28,"I,1106",,,,,,,,,,,1188,,1188,I,15.02,",I",62.3,I,79,I,45.6,I
MX000015170,"CHAPINGO, MX",19.5,-98.88,2250,1983,,,,,94,I,62,I,,,,,0,I,324,I,8,I,,,0.99,",I,0803,",95,"I,0502,",,,,,,,,,,,,,,,,,21.61,",I",,,77.7,I,,
MX000015170,"CHAPINGO, MX",19.5,-98.88,2250,1984,152,,152,I,106,I,67,I,0,I,2,I,0,I,328,I,2,I,29,"I,0101,",1.17,",I,0706,",91,"I,0430,",,,,,,,30,"I,0102",,,,,1251,,1251,I,26.41,",I",61.4,I,76.5,I,46.3,I
MX000015170,"CHAPINGO, MX",19.5,-98.88,2250,1985,65,,65,I,104,I,56,I,0,I,2,I,0,I,335,I,0,I,31,"I,0107,+",1.46,",I,0805,",89,"I,0513,",,,,,,,31,"I,0107",,,,,1510,,1510,I,24.37,",I",61.2,I,76.2,I,46.3,I
MX000015170,"CHAPINGO, MX",19.5,-98.88,2250,1986,174,,174,I,109,I,61,I,0,I,11,I,0,I,346,I,2,I,23,"I,0114,",1.04,",I,0808,",91,"I,0405,",,,,,,,30,"I,0324",27,"I,0322",23,"I,0114",1457,,1457,I,19.24,",I",61.9,I,77.9,I,45.9,I
MX000015170,"CHAPINGO, MX",19.5,-98.88,2250,1987,211,,211,I,87,I,54,I,0,I,11,I,0,I,346,I,1,I,27,"I,0127,",1.19,",I,0723,",90,"I,0321,",31,"I,1106",,,,,27,"I,0306",27,"I,0306",,,1161,,1161,I,22.71,",I",62.4,I,78.1,I,46.7,I
MX000015170,"CHAPINGO, MX",19.5,-98.88,2250,1988,292,,292,I,85,I,50,I,0,I,8,I,0,I,344,I,9,I,25,"I,0127,",2.38,",I,0904,",93,"I,0427,",,,,,,,29,"I,0129",27,"I,0128",,,1086,,1086,I,21.02,",I",62.9,I,78.9,I,46.8,I
MX000015170,"CHAPINGO, MX",19.5,-98.88,2250,1989,244,,244,I,82,I,49,I,0,I,10,I,0,I,350,I,3,I,27,"I,1226,+",1.74,",I,0518,",94,"I,0518,",29,"I,1224",27,"I,1226",,,28,"I,0311",27,"I,0310",,,1084,,1084,I,18.75,",I",62.5,I,78.8,I,46.1,I
MX000015170,"CHAPINGO, MX",19.5,-98.88,2250,1990,229,,229,I,108,I,68,I,0,I,5,I,0,I,341,I,2,I,27,"I,1210,",2.43,",I,1012,",91,"I,0529,+",28,"I,1112",27,"I,1210",,,,,,,,,1065,,1065,I,34.17,",I",62.8,I,78.2,I,47.4,I
MX000015170,"CHAPINGO, MX",19.5,-98.88,2250,1991,431,,431,I,101,I,64,I,0,I,0,I,0,I,341,I,29,I,33,"I,0117,",1.61,",I,0710,",96,"I,0416,",,,,,,,,,,,,,915,,915,I,25.97,",I",63.4,I,79.1,I,47.7,I
