STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HTDD,PRCP,PSUN,SNOW,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WSF1,WSF2,WSF5,WSFG,WSFM
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,1970,,1458,1458,111,73,12,6,0,93,16,171,48,2,4,3.5,1.83,98,28,28,23,19,,32,25,21,20,13,4955,4955,35.44,55.2,18.3,56.1,65.8,46.3,150516,,,,,315,,,,,55.9
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,1971,,1188,1188,106,72,6,3,0,79,16,165,19,9,5,2.8,4.04,96,31,27,20,20,,32,22,22,16,16,4587,4587,53.35,53.7,7.7,56,65.1,46.8,146316,,,,,315,,,,,53.9
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,1972,,1029,1029,133,86,8,4,0,90,7,154,22,5,3,4,3.84,95,28,28,22,20,16,31,28,22,19,14,4320,4320,52.38,51.3,13.1,54.7,63.8,45.7,139152,,,,,270,,,,,38
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,1973,,1186,1186,120,77,5,3,0,84,11,165,27,8,5,6,1.78,99,29,28,21,15,15,31,26,23,13,13,4694,4694,45.84,53.4,9.4,55.7,65.2,46.2,143136,,,,,270,,,,,46.1
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,1974,,1009,1009,121,76,6,3,0,89,7,170,18,9,5,6.3,1.99,96,31,28,23,18,,32,23,23,20,9,4460,4460,37.77,55,9.2,55.4,65.1,45.7,147660,,,,,90,,,,,42.9
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,1975,,1212,1212,126,86,5,5,0,92,5,175,23,13,3,4.4,3.45,99,32,28,24,19,,28,28,24,19,15,4418,4418,51.85,52.6,12.5,56.6,65.8,47.4,142254,,,,270,270,,,,62.2,50.1
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,1976,,1120,1120,102,71,5,2,0,108,17,175,27,5,8,7.8,4.18,94,30,27,24,20,15,30,28,20,20,12,4124,4124,43.45,61.4,13.4,54.9,65.2,44.7,165240,,,,270,315,,,,54.1,50.1
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,1977,,1439,1439,105,66,18,2,1,89,29,182,45,-2,3,3.6,3.36,99,30,26,20,20,15,32,27,24,10,10,5064,5064,36.41,57.6,9.6,56.2,66.4,46.1,156192,,,,360,270,,,,55.3,46.1
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,1978,,1244,1244,120,75,29,9,0,95,20,164,26,8,9,8.4,2.33,100,32,25,23,18,,30,28,23,20,11,5056,5056,41.52,56.5,37,54.7,64.4,45,150210,,,,,225,,,,,48.1
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,1979,,1105,1105,127,87,24,7,3,87,21,168,13,-3,22,16.4,4.39,94,31,28,24,20,,30,28,18,18,4,4657,4657,59,53.8,39.3,55.2,64.6,45.8,144648,,,,135,315,,,,51.7,44.1
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,1980,,1377,1377,116,70,10,6,0,104,21,175,46,5,5,3,1.71,102,32,28,21,19,13,28,28,13,13,13,4577,4577,34.75,60.3,14.4,55.3,65.4,45.1,163980,,,,,315,,,,,47
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,1981,,1178,1178,103,64,6,2,1,99,17,156,22,0,2,2.5,2.3,96,28,28,24,20,16,31,27,23,19,14,4892,4892,31.23,56,6.9,54.6,64.5,44.7,152466,,,,180,315,,,,56.4,38.9
